Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect,FID_Distance,Synopsis,Notes,Paper_Retained
D055,Luke,Differential flight responses of spring staging Teal Anas crecca and Wigeon A-penelope to human versus natural disturbance,"Bregnballe, T.",2017,Wildfowl,,,,,,,,,,,,,,,,,,
D056,Luke,"Marsh management, reserve creation, hunting periods and carrying capacity for wintering ducks and coots","Brochet, AL.",2009,Biodiversity and Conservation,,,,,,,,,,,,,,,,,,
D057,Luke,Effects of hunting on the behaviour and spatial distribution of farmland birds: importance of hunting-free refuges in agricultural areas,"Casas, F.",2009,Animal Conservation,,,,,,,,,,,,,,,,,,
D058,Luke,Hunting influences the diel patterns in habitat selection by northern pintails Anas acuta,"Casazza, ML.",2012,Wildlife Biology,,,,,,,,,,,,,,,,,,
D059,Luke,"Diurnal variation in the behaviour of the Pink-footed Goose (Anser brachyrhynchus) during the spring stopover in Trondelag, Norway","Chudzinska, M.",2013,Journal of Ornithology,,,,,,,,,,,,,,,,,,
D060,Luke,Foraging behaviour and fuel accumulation of capital breeders during spring migration as derived from a combination of satellite- and ground-based observations,"Chudzinska, M.",2016,Journal of Avian Biology,,,,,,,,,,,,,,,,,,
D061,Luke,Varying energetic costs of Brent Geese along a continuum from aquatic to agricultural habitats: the importance of habitat-specific energy expenditure,Clausen KK.,2013,Journal of Ornithology,,,,,,,,,,,,,,,,,,
D062,Luke,Sharing waters: the impact of recreational kayaking on moulting mute swans Cygnus olor,Clausen KK.,2020,Journal of Ornithology,,,,,,,,,,,,,,,,,,
D063,Luke,"Waterbird flight initiation distances at Barberspan Bird Sanctuary, South Africa","Coetzer, C.",2017,KOEDOE,,,,,,,,,,,,,,,,,,
D064,Luke,"Variability in the area, energy and time costs of wintering waders responding to disturbance","Collop, C.",2016,Ibis,,,,,,,,,,,,,,,,,,
D065,Luke,Winter Time-Activity Budgets of Diving Ducks on Eastern Texas Reservoirs,"Crook, SL.",2009,Waterbirds,,,,,,,,,,,,,,,,,,
D066,Luke,"Gallant geese, fearful flocks? Flock size and heterospecifics alter the escape behaviour of an invasive goose","Deboelpaep, E.",2018,Belgian Journal of Zoology,,,,,,,,,,,,,,,,,,
D067,Luke,Boat disturbance effects on moulting common eiders Somateria mollissima,"Denhard, N.",2019,Marine Biology,,,,,,,,,,,,,,,,,,
D068,Luke,Does traditional shellfishing affect foraging by waders? The case of the Tagus estuary (Portugal),"Dias, MP.",2008,Acta Oecologica,,,,,,,,,,,,,,,,,,
